title,company,location,description,link
Data Scientist (AI/ML),OGGN Inc.,RemoteRemote," Using complex analysis techniques to uncover hidden insights in complex, multi-variate data. 
 Turning questions that start with “why” into data-driven answers. 
 Using data and trends to drive sophisticated forecasting, modeling and contact strategies. 
 Prepare and present insights directly with key stakeholders. 
 Writing and Evaluating Machine Learning Algorithms. 
 Leverage strong communication skills and business acumen to work closely with cross-functional business owners to drive data and analytics technologies for business use. 
 Design, develop and implement predictive/analytical algorithms and statistical data modeling tools to derive insights for complex business operations and processes. 
 Be a subject matter expert in supervised and unsupervised ML algorithms and other applied AI techniques to derive meaningful and actionable insights from big data. 
 Implement scalable, efficient processes for large scale data analyses, model development and deployment. 
 Be responsible for effectively communicating insights, findings, test results, performance analysis to both functional teams, and the senior management along with recommendations for enhancements/improvements. 
 Continually drive to learn and master new technologies and techniques. Constantly upskill and remain fully updated with the evolving data and analytics community.
 
 Master’s degree in Computer Science, IT, or Math (or Undergraduate Degree in Computer Science, Math). 
 Have a good understanding of data analysis, advanced analytics with exposure to AI/ML and technologies. 
 Experience with machine learning/artificial intelligence, and numerical programming frameworks (e.g., TensorFlow, MATLAB). 
 5+ years of experience in data science, data mining, analysis, and visualization with the ability to identify and present actionable insights from data to address business problems. 
 Demonstrated experience in using statistical and data manipulation languages (e.g. Python, R, SQL). 
 Strong communication, presentation and documentation skills is also required. 
 ",https://www.indeed.com/rc/clk?jk=614df948405acfe2&fccid=3b2bff59c759be85&vjs=3
Junior NLP Data Researcher,Exiger,"Toronto, ON"," 
Assess event Lucene queries
 
 Maintain and debug dev tools in Java using IntelliJ. 
 
Accurately identify events from text and assess keywords. 
 
Maintain a high level of accuracy through active participation in individual tasks and team contribution. 
 
Collaborate closely and communicate effectively with the Cognitive Computing team. 
 
Strong command of the English language. 
 
Superior reading skills in English. 
 
Familiarity with Regex and Lucene. 
 
Basic knowledge of Java. 
 
Basic knowledge of Git. 
 
1-2 years of data science/development experience or equivalent education in these fields.
 
 Java and Regex experience.
 
 Proven ability to quickly learn and adapt to a dynamic environment. 
 
Experience with data management. 
 
Proven attention to detail. 
 
Ability to learn new concepts quickly. 
 ",https://www.indeed.com/rc/clk?jk=d4c48bdb09093b02&fccid=b7a753ea1f841879&vjs=3
Data Scientist,Bus.com,"Montréal, QC"," Design, implement, train and maintain accurate AI enabled algorithms. 
 
Design, run, and automate validation experiments for AI algorithms 
 
Recommend creative solutions to achieve business goals 
 
Maintain and optimize AI algorithms running in production, access and storage of data. 
 
Analyze, visualize, and communicate insights from our data. 
 
Work closely with software developers to develop an automated process for collecting quality training data. 
 
Explore and develop new technologies as part of the core tech organization 
 Familiar with data engineering and visualizations 
 
Familiar with logistics or group transportation industry 
 
Knowledge of Operational Research and heuristic methods 
 
Knowledge of simulations and multi-agent simulations 
 Masters or PhD in Computer Science, applied Mathematics, Statistics or any other relevant academic background 
 
Sound knowledge in the theoretical foundations of machine learning algorithms 
 
Knowledge in multi-criteria decision analysis 
 
Experience with machine learning libraries or platforms (Examples: Python, Scikit-learn, TensorFlow, R) 
 
Professional experience within software engineering teams 
 
Master an object oriented language 
 High level of autonomy but comfortable asking for help and collaborating 
 
Confidence taking responsibility and ownership for solutions 
 
Tendency to be curious about what we're building and desire to understand the industry ad other aspects of the business 
 
Passionate about what's being built and your contribution to improving the process 
 
Ability to constructively question the status-quo and challenge those around you 
 
Be comfortable communicating and confronting issues head-on and sharing your ideas from day 1 
 “The answers are in your brain”
We are solving major problems in a fragmented industry. To do this, we need a bunch of smart, passionate people everywhere. You could be one of them! At Bus.com, you will seek to understand the “why” in everything we do, ask questions, challenge constructively, and most importantly, trust your instincts - because we will trust you with our customers.
 
 
We are solving major problems in a fragmented industry. To do this, we need a bunch of smart, passionate people everywhere. You could be one of them! At Bus.com, you will seek to understand the “why” in everything we do, ask questions, challenge constructively, and most importantly, trust your instincts - because we will trust you with our customers.
 
 
“Life happens, time to think big”
Fire starts with friction. Your reality at Bus.com will be challenging every day - it's not a matter of if things go wrong, but when. You can't control unexpected events, so you will need to own what you're accountable for by embracing change and building resilience.
 
 
Fire starts with friction. Your reality at Bus.com will be challenging every day - it's not a matter of if things go wrong, but when. You can't control unexpected events, so you will need to own what you're accountable for by embracing change and building resilience.
 
 
“Be bold, just dive in!”
We set ourselves ambitious goals to feed our appetite for action because we believe we can make it happen. We go fast- even when it means making mistakes along the way. We. The important thing is that we take the learning and move forward.
 
 
We set ourselves ambitious goals to feed our appetite for action because we believe we can make it happen. We go fast- even when it means making mistakes along the way. We. The important thing is that we take the learning and move forward.
 
 
“We're all in this together”
If you join Bus.com, your success will depend on everyone around you. Treat them the way you want to be treated. We all have unique skill-sets but we're not all that special unless we're united and rowing in the same direction. 
 
If you join Bus.com, your success will depend on everyone around you. Treat them the way you want to be treated. We all have unique skill-sets but we're not all that special unless we're united and rowing in the same direction. 
 ",https://www.indeed.com/rc/clk?jk=70aed3eb2614b980&fccid=a80572d1fb930693&vjs=3
Senior Data Scientist,Microsoft,"Vancouver, BC"," 
Build a holistic understanding of our products, features, customers, data infrastructure, and business goals 
 
Analyze complex, high-volume data from varying sources 
 
Develop analytical data sets which can be used to for analytics and data science 
 
Understand business performance as well as answer questions to drive product actions 
 
Partner with stake holders to translate problems into impactful metrics and visualizations 
 
Work with stakeholders to define project requirements, deliverables and time frames 
 
Build and maintain learning plans for the product(s) with key analytical questions 
 
Defining and implementing methodologies that accurately quantify the value of improvements 
 
Leverage industry best practices in establishing repeatable BI practices, principles & processes 
 
Bachelor’s or master’s degree or higher in Data Science, Statistics, Applied Mathematics, Computer Science, Engineering or another quant-focused field. 
 
Fluent in SQL 
 
4+ years relevant experience in advanced analytics or data science roles. 
 
2+ years executing A/B experiments, machine learning, or other predictive analysis. 
 
Self-motivated, agile and driven to think out-of-the-box 
 
Unique mix of technical, analytical, strategic, and program management skills 
 
Python, R or other scripting language 
 
Ability to understand and translate business and product questions into data insights 
 
Experience in database technology with solid understanding and hands-on skills with SQL 
 
Experience building large scale data sets in Azure, Hadoop or similar big data environments 
 
Proficiency in advanced Excel functions (e.g., creating formulas, pivot tables) and PowerBI
 
 Ability to influence diverse audiences and build strong partnerships with stakeholders
 
 Ability to articulate vision and benefits of projects to business and technical partners
 
 Experience working with product and service telemetry systems
 
 ",https://www.indeed.com/rc/clk?jk=5f773a517dcc0699&fccid=734cb5a01ee60f80&vjs=3
SEPT Grad - SESSIONAL FACULTY - SEP 786 Artificial Intelligence & Machine Learning Fundamentals/ SEP 787 Machine Learning: Classifi...,McMaster University,"Hamilton, ON"," Supplemented Fees- 15.02(a) The employee may be eligible to receive supplemented fees in accordance with Schedule C of the Collective Agreement. The actual rate of pay when in excess of the base rate of pay is deemed to include any supplemented fees owing, to the extent of the excess amount. If the actual rate of pay is less than the sum of the base rate of pay and the supplemented fees owing, then the employee shall receive the difference. 
 ",https://www.indeed.com/rc/clk?jk=caf8eae6b7daba2f&fccid=3623ed8ea4c76fba&vjs=3
NLP Engineer,Novacene AI Corp.,"Ottawa, ONRemote"," Topic modelling and clustering 
 Using state-of-the-art technology and tools 
 Implementing ML pipelines involving multiple NLP/NLU components 
 NLP libraries 
 Python 
 Linux/Docker/Git 
 Identify working solutions to product requirements related to language processing 
 Develop functional products and solutions 
 Flexible working hours 
 Flexible schedule 
 Paid time off 
 Stock options 
 Work from home 
 No weekends 
 NLP/NLU: 3 years (Preferred) 
 Ottawa, ON (Preferred) 
 Yes 
 ",https://www.indeed.com/company/NovaceneAI/jobs/Nlp-Engineer-ebceedec97c83f6a?fccid=b18a11620a0f8a16&vjs=3
,,,,https://www.indeed.com/rc/clk?jk=5e97b9fb204cbc9d&fccid=f3c54a468b13c9c9&vjs=3
Data Scientist,Just Order Enterprises Corp. (饭团),"Burnaby, BC"," Interpret, evaluate, and interrelate research data and develop integrated business analyses and projections for incorporation into strategic decision-making. 
 User Behavioral Analytics. Research and analyze user flows, funnels, activation, retention, and qualitative feedback to derive insights and themes and present opportunities to the Product team 
 Build data analysis products with user documentation, such as self-serve and on-demand reports, dashboards, and other BI tools 
 Work closely with business units and Product Managers to understand their analytical needs, and enable stakeholders across the company to use data efficiently and effectively 
 Bachelor’s degree related to Computer Science, Statistics, Applied Mathematics 
 Have 2+ years of working experience in a data analysis or similar role 
 Experience with programming languages such as Python, Java, SQL, etc… 
 Experience with various BI tools, e.g. Power BI 
 Strong analytical and problem solving skills 
 Excellent communication skills, ability to clearly explain technical terms to non-technical audience 
 Java/JavaScript is an asset 
 Fluent in Mandarin 
 业务数据监控及分析:通过数据监控,分析各项影响产品提升与增长的因素,给出建议或产品优化方案,驱动业务快速迭代发展; 
 平台用户行为数据分析:通过规范化的用户埋点事件,收集并处理用户行为数据,对用户行为挖掘及活跃用户分析,搭建指标体系,以及增长分析模型,并洞悉平台产品的问题,提出改进意见; 
 与产品/运营/研发等配合,推进优化方案落地执行,带来业务的实际提升增长。 
 本科及以上学历,计算机、数据科学相关专业; 
 2年+数据分析工作经验; 
 熟练掌握Python、Java、SQL等; 
 了解常用的统计和分析方法,掌握 Tableau/Power BI等BI可视化工具; 
 有相关行业数据分析经验、数据建模分析经验者优先; 
 掌握Java, JavaScript优先 
 能快速理解业务,发掘业务细节和数据之间的联系; 
 沟通交流能力强,工作严谨。 
 data analysis: 2 years (Required) 
 Bachelor's Degree (Required) 
 Mandarin (Required) 
 No 
 ",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D7h27HtCwsESObZ9Svevt6QKp9_qA7YrCX1YuK6v_MCqXZ8Kyfbg5fxKeMCs0rq5a_bHZEDyD04l557mClBQpGLipW_IdI_qEGWceMPprL2YA0hnKlilBRa3H8wX4ID8NGiI_PAs4X0OTpNN1Mu0zSKkvj2QVN63RPmFACwpnG3f37uh6k2QqDmBLBT6g8NY3jQCIPWV7CyneGSpTiLQdxFBEkiZUwiELGI37kZFtwfEgfqKKIZEnaJ5p1oQGf17qBuJXduQgbeA38XrZFtCbUDOU8e5jZeekWgvsF4l0dk1zFqLhPFCGhGvZLxXolINbEnzlXHfrOS5JwS4dI5q5ZY7qKQQdQhUkD0n2RcIiXzuLPLmXmmpVV4y1uaJ23HOihofws0eaKKw6EzUEKzoV2S__Y3pEu4rN75_dPO1FE3E_8a7MFkwVRfnWMPY0rYTg=&p=10&fvj=1&vjs=3
Data Scientist,Hard-Line,Line47 reviews," Use Data Science to become the “Data Subject Matter Expert” and bring visibility to areas of business opportunity and improvements to technical and business leadership 
 Provides senior level support of the software product installation, configuration, maintenance, upgrade, user account administration, troubleshooting, system/database monitoring, capacity planning and performance tuning for production, development, test and training databases. 
 Develops methodologies and techniques for the ongoing assessment of data systems performance, capacity monitoring, problem notification to mobile devices, e-mail, and/or on-line reporting environment 
 Perform evaluation, installation, configuration, maintenance and upgrades of hardware, software and related management tools. 
 Leads technical project teams to determine requirements, examine data flow, research and evaluate software, build logical and physical database architecture, develop and/or acquire, implement, maintain databases and provide technical and business support for application software and information solutions to meet client and business user requirements. 
 Provides senior level technical expertise and consultation in the area of database administration/system architecture to business users and other technical staff to ensure consistent database architecture through adherence to proper logical and physical database design techniques, data integrity and data security. 
 Collaborate with business leaders and users to gather requirements and develop via reporting changes 
 Continuous improvement of processes and systems to monitor data quality, ensuring production data is always accurate and available for key stakeholders and business processes that depend on it. 
 Design and develop reports to provide system intelligence to end-users 
 Convert legacy reports and interpret business logic 
 Contribute to definition and maintenance of reporting standards 
 Develop SSRS and other reports and dashboards 
 Collaborate with development teams to deliver integrated solutions 
 University degree in Computer Science or equivalent combination of education and experience 
 5-7 years of related business intelligence experience 
 Experience with SQL Server 2014/2019 and SSRS 2014/2019 
 Development experience with C-family languages (C, C++, C#) 
 Experience with Microsoft Access would be considered an asset 
 Strong background in mathematics or statistics 
 PMP/Business Analysis Certification would be considered an asset (CBAP, PMI-BA, PMP) 
 Experience working in an ISO 9001 environment would be considered an asset 
 Experience with software development lifecycle tools and approaches (e.g. version control, automated testing, pull request submission and review, Agile methodologies). 
 Experience in an IoT environment 
 Focus on quality and performance while being able to deliver on time 
 Strong interpersonal and communication skills 
 Ability to speak both technically and non-technically to varying audiences 
 Calm and focused under pressure 
 Analytical mindset and excellent problem-solving skills 
 Ability to adapt, prioritize, think ahead and anticipate problems, issues and solutions. 
 Strong organizational skills 
 Attention to detail and ability to focus on deadlines and deliverables 
 Aptitude for continuous improvement and learning 
 Collaborative 
 Positive Attitude 
 Manual dexterity is required for desktop computer and peripherals 
 General office environment 
 Ability to sit for extended periods 
 Company pension 
 Dental care 
 Disability insurance 
 Employee assistance program 
 Extended health care 
 Life insurance 
 On-site parking 
 RRSP match 
 Vision care 
 Day shift 
 Monday to Friday 
 No weekends 
 Business Intelligence: 5 years (Required) 
 Bachelor's Degree (Required) 
 English (Required) 
 ",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Aj20OnLKT9-byyAUMQXWqgJr8Z1LMg3s5tVYKZNUGgLWqBITgVW65qgBk8bAWVtTuZU3QA3VUFzVw7X7UGgrKViBmRxTqqnElwUtehgdzK5C8_YKrr9WpwdEeCaMJXGqwn8U-RephsWnc8A3K87DItAYpbuKTzdXmOKg31XjATwuBL8BtQ7vHYDjG6elOc77zzFgflG-k2s_SzIPaag_rwQBvOUQr5XoWwqrBkpBdeKWPOXom_KOh9N9IcOfRUqBHwvegRPbEFxyEnLbjAi40AMlcwQ9MH1Ey_q4GD16jjLwMyWAfo9MvYd3SgrdB7sCa69J-7sAZ5iiMx1LrgbzCGjG3wPmmRHcRTzvZbjMphosbFmQ8zm8UKN56yhmwvAEuzBSz0nueAp-h1LTgXQxg8ZK72i90vMxwVtoSM3k-EJH5LlgwhSjBu&p=11&fvj=1&vjs=3
Data Scientist,exactEarth Ltd.,"Cambridge, ONTemporarily remote"," Collaborate with all stakeholders in the company, in particular, Business Development, Sales and Marketing and Product Management to mine, clean, analyze and provide insights into data based on internal and external customer requests. 
 Understand the data pipeline and its many derived products and services. 
 Create and maintain internal and external customer analytic reports and create professional presentations for internal and external end users 
 Revise and troubleshoot work with the Software Development team and Customer Support as required. 
 Five or more years’ experience in Java/Python 
 Three or more years of data analysis experience using Pandas or R 
 Three or more years’ experience working with traditional relational database preferably PostgreSQL 
 One or more years’ experience in big data technologies such as Hadoop and Spark 
 Experience with spatial data processing 
 Experience using Jupiter Notebook 
 Experience in data visualization and interpretation using platforms such as Tableau or equivalent 
 Experience developing on the Linux operating system 
 Team player, enthusiastic, willing to learn and capable of working in a fast, dynamic environment 
 Excellent interpersonal skills along with excellent verbal, writing and presentation abilities 
 Ability to manage multiple competing priorities 
 Ability to work with minimal oversight with an inquisitive mindset 
 Experience with Spark MLlib, sci-kit learn and/or TensorFlow 
 Understanding of Automatic Identification System (AIS) data 
 Understanding of Maritime applications and services 
 Power-user capabilities with the Linux operating system 
 Capable of using a distributed version control system such as GitLab 
 Competitive salary and benefits 
 Casual dress 
 Company events 
 Dental care 
 Disability insurance 
 Employee assistance program 
 Employee stock purchase plan 
 Extended health care 
 Flexible schedule 
 Life insurance 
 On-site parking 
 Paid time off 
 RRSP match 
 Vision care 
 Work from home 
 Monday to Friday 
 data analysis using Pandas or R: 3 years (Required) 
 Jupiter Notebook: 1 year (Required) 
 relational database such as PostgreSQL: 3 years (Required) 
 spatial data processing: 1 year (Required) 
 Java: 5 years (Required) 
 Python: 5 years (Required) 
 Linus OS: 1 year (Required) 
 data visualization & interpretation: 1 year (Required) 
 big data technologies such as Hadoop and Spark: 1 year (Required) 
 Spark MLib, sci-kitlearn and/or TensorFlow: 1 year (Preferred) 
 AIS data: 1 year (Preferred) 
 Temporarily due to COVID-19 
 ",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DAKgbPP6rpncJmLFnZkcg7hnK1fs3KFArEXBdwRHIoXDRvLnmNvZ1o_ZpTNtKNZSTKHVvEM9bgdI8Z4jfIQmvpbPY9JzfERr3LW7r2B2WdODld0g93eD-nsO3-sSX9lBGwRbyk4chiHIXpfXXpudYZyKGHBA7O02K6ks5pEo1c3pIjTIlqGTZ_sRC3GX5-b1DjLOj_0urKfWRIZ6RLz_kx4b0EZ2R3Qq7_lNOCgGDyrW1kUFsp3T76D_2IzQKWbqHGZLpRk5YhurYuAT0xR0SGiT0hyGaXGy1wskg9UONdDA7yr6z8wSJKUghBuPgCqHC7GTu29WkIQ9onX5-dpZ65JH5ak8SyvefVoYxqhmIxFRZU12i_Gppuen7K5V9qTnrYL51oIV-XSVHr2LY2LyIOis08jJmc5TsmG1NRkl5EN1xUcQkW4rEM&p=12&fvj=1&vjs=3
Machine Learning Engineer,Boast.AI,"Toronto, ONTemporarily remote"," Fullstack development of AI features and applications in various areas of the Boast.AI platform 
 Identify appropriate models to be used and improve model accuracy for the Boast.AI platform 
 Participate in the product definition, especially around the aspects of AI, attempting to translate complex business requirements into concrete technical solutions 
 Bachelor's degree in Computer Science, related technical field or equivalent practical experience 
 5+ years of experience developing Machine Learning or Artificial Intelligence features and applications in the SaaS software and/or fintech space 
 5+ years of fullstack software development experience 
 Experience with one or more of the following: Natural Language Processing, text understanding, classification, pattern recognition, recommendation systems, targeting systems, ranking systems or similar. 
 Experience with one or more general purpose programming languages including but not limited to: Python, Scala, Java, C, C++ 
 Knowledge of software engineering best practices across the development lifecycle, including agile methodologies, coding standards, code reviews, source management, build processes, testing, and operations 
 Effective written and verbal communication skills 
 Demonstrated problem-solving skills 
 Ability to work unsupervised, in the office or remote as part of a distributed team and be able to produce high quality work 
 MS or Ph.D. degree in Computer Science, Artificial Intelligence, Machine Learning, or related technical field. 
 Experience with Google Cloud architecture and products 
 Experience with one or more frameworks such as Tensorflow, Keras, Apache Beam, Spark 
 Demonstrated leadership and self-direction. Willingness to teach others and learn new techniques. 
 Python proficiency 
 Interest and ability to learn other coding languages as needed 
 Competitive salary + benefits 
 Flexibility in your workplace – you have the option to work from our downtown office or from home 
 Open and transparent management structure – collaboration is how we make decisions happen 
 Career growth within this role, including leadership and product innovation opportunities 
 Software development : 5 years (Preferred) 
 Machine Learning: 3 years (Preferred) 
 python: 5 years (Required) 
 Bachelor's Degree (Preferred) 
 Temporarily due to COVID-19 
 ",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AmU_6Ck02_vvL6KV9wtnJ-CwUT9JezEHjmUrnh2V-rVc-7Gkp3lWIMvK_4oVDBqh8HWsowYLQm_KxfH01PZjZpKh9Ya5WVuuOYg-AkyxzMiub4DT22UmZleeKymDpzov3EHPUbCWJnsJNqXOAXBojoxQtBng2Aewh6zX4UcpLXw4RDYBHwm4dzDllo6eAdNVDexnH7-3A2XC2XAq3c0zZqem3ZvkCqhZjRO7dFHmMsRHenfB5b3iafHUTxvIfc3_z8mIJxjIrOM746fucHskluMD4JRxJhlGPlfV9JfSf1IuCx59Bvou2PIuC94ohDTNHbvB-nAMrkZpVrAkGzEhHxlOsBGWzWn_7ZOSLw1FPG998AB8ts7nVd6f07szv7Sdg_ae8_XZfENF82dftATCZKKxzn61MIgdl4EmCZEqI8r3SYoOpX6ZUPatxphIQkFurceRoCpOAS1A==&p=13&fvj=1&vjs=3
BHJOB15656_15424 - Data Scientist,Myticas Consulting,"Ottawa, ON"," Applying modern software development practices, you will be involved in the entire software development lifecycle, building, testing and delivering high-quality solutions 
 Working in a collaborative team-oriented environment, you will share information, value diverse ideas, partner with cross-functional and remote teams 
 With a strong sense of urgency and a desire to work in a fast-paced, dynamic environment, you will deliver solutions against strict timelines 
 You are empowered to try new approaches and learn new technologies. You will contribute innovative ideas, create solutions, and be accountable for end-to-end deliveries 
 Through dynamic engagement and communication with cross-functional partners and team members, you will effectively articulate ideas and collaborate on technical developments 
 Have a deep understanding and experience with NLP, creating deep learning and machine learning models, and hands-on experience in one or more programming languages (Python, Java, JavaScript, etc.) 
 Understand API development and best practices 
 Have experience working in an Agile environment 
 Demonstrate proficiency in automation, system monitoring, and cloud-native applications, with familiarity in AWS or Azure (or a related cloud platform) 
 Have academic and/or industry experience in building machine learning models and/or systems with the ability to translate the latest research papers into implementations addressing our use cases 
 Are curious, adaptable learner, empathetic and can teach & lead others 
 Have a desire to positively impact the world around them and someone who isn't afraid to dive right in, is comfortable working independently at a fast pace, embraces change, and can creatively pivot when needed 
 ",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bt274jo0r_e0cCCqhskoQvohXG3bfDAo8rIdE-Msu3yuVfyF2oiDFKHFOU-vxVulAlbDqgrZgGEUNm7V2EdtXu2OJ5OBr9MXw5lYXF5yF6IVzrEfoXDEatxtY7fWuXXWmDsvimIVP8toC87MPpbmPGkcIMm4vw7bLywHp2wrh0bHA2haFz-KZwDgra1D6Nv4qswNvCth67a8KgFzxgZ6TFQrmjTeI9v4fM1DmQ7Qk8mxLautIC4lp2wYuDwtS21q-6b7av_h7gWETKCn8C5A_8QI0dW5FVmhj6Q4lOpUKz0hBvXOdZ9zPyWzhA__e49o0ltTBd4KoWKhSgzE8CIhyt5HLw9-8vvu6Iiyu1wlg2aUpwV_w3AyFnAuPCeCxQcYftjeYyxV54E6QUKQS8Bwe3nc5pk9LvKMU=&p=14&fvj=0&vjs=3
,,,,https://www.indeed.com/rc/clk?jk=5e97b9fb204cbc9d&fccid=f3c54a468b13c9c9&vjs=3
Analytics Client Lead and Development,Advanced Analytics and Research Lab (AAARL),"Toronto, ONRemote"," Contacting new businesses and organizations for new revenue opportunities.
 
 Manage our sales and business development pipeline.
 
 Maintaining relationships with existing prospects.
 
 Ensure awareness of the AAARL brand.
 
 Managing and allocating the marketing budget with the CEO.
 
 Act as liaison and business consultant in existing client projects.
 
 Design and building new services, products and marketing collateral with the CEO.
 
 Post secondary education in a related field.
 
 Strong motivation and curiosity.
 
 Knowledge in the analytics industry.
 
 Quick learner, punctual, disciplined, focus on excellence.
 
 Customer facing, or sales experience.
 
 Marketing analytics.
 
 Familiar with digital marketing tactics.
 
 Start up experience.
 
 Flexible work hours.
 
 Option to work from home.
 
 Two weeks paid vacation.
 
 Medical, travel, education and technology allowance.
 
 Admitted into a customized education program that will focus on personal and professional growth of the individual
 
 Working in a very challenging and fast paced environment that will require you to push yourself intellectually
 
 Working with the founder directly in open concept downtown Toronto office.
 
 Attend analytics, data science, AI and industry conferences and workshops, developing your own network 
 ",https://www.indeed.com/rc/clk?jk=55d963f02ffab2b0&fccid=7d5418aa8bf737a7&vjs=3
Data Scientist,sgsco,"Toronto, ON"," Understand the decision-making process, workflows, and business and information needs of business unit heads and service manager/owners 
 Proactively mine data warehouses to identify trends and patterns and generates insights for business units and senior leadership 
 Research and implement cutting-edge techniques and tools in machine learning/deep learning/artificial intelligence to make data analysis more efficient 
 Determine requirements that will be used to train and evolve deep learning models and algorithms
 
 Translate business needs into analytics/reporting requirements to support executive decisions and workflows with required information 
 Perform large-scale experimentation to identify hidden relationships between variables in large datasets 
 Develop frameworks and processes to analyze unstructured information collected through social media platforms i.e., wikis, blogs, instant messaging, etc. and traditional sources such as e-mail and SharePoint. 
 Visualize information and develops engaging reports on the results of data analysis using data visualization tools 
 Advise product teams on new products, features or updates through data-based recommendations 
 Support user experience specialists and information architects to enhance information visualization through development of dashboards and user interfaces 
 Distribute best practices to analytics and product teams and provides consultations for their data-based experimentations 
 Up-to-date knowledge of machine learning and data analytics tools and techniques 
 Strong knowledge in predictive modeling methodology 
 Experienced at leveraging both structured and unstructured data sources 
 Willingness and ability to learn new technologies on the job 
 Demonstrated ability to communicate complex results to technical and non-technical audiences 
 Demonstrated ability to work with minimal supervision 
 Experience using statistics and machine learning to solve complex business problems 
 Experience conducting statistical analysis with advanced statistical software, scripting languages, and packages 
 Experience with big data analysis tools and techniques 
 Experience building and deploying predictive models, web scrapping, and scalable data pipelines 
 Experience with Microsoft Azure Cognitive Services is desirable 
 Master’s degree or PhD in computer science, statistics, economics, or related fields 
 In addition to a competitive salary, we offer an RRSP with company match, gym membership and several health and welfare plans including company paid Short-Term Disability and Basic Life. 
 Casual dress (prepare your jeans game, because that’s what we wear on most days). 
 Creative work environment. We always welcome innovative ideas to make our process better. 
 ",https://www.indeed.com/rc/clk?jk=d36b21805cf980bb&fccid=8b6902cf5e1e68e5&vjs=3
Applied Research Scientist,Grammarly,"Vancouver, BCTemporarily remote"," Develop state-of-the-art tools for correcting, improving, and enhancing written English by using a variety of NLP, machine learning, and deep learning technologies. 
 Raise the depth and quality of research across the team. 
 Stay up to date with the latest research trends that could improve our product. 
 Produce sound experimental results to enable decision-making as we iterate on a project. 
 Be results oriented in the face of ambiguous problems and uncertain outcomes. 
 Have the option to produce research papers for top conferences in machine learning, computational linguistics, and related areas. 
 Embodies our EAGER values—is ethical, adaptable, gritty, empathetic, and remarkable. 
 Is able to solve large, complex problems with multiple stakeholders and no obvious solution. 
 Takes initiative and drives results. 
 Applies creativity to solve problems that haven't been solved before. 
 Ruthlessly follows the data, looking for evidence to disconfirm hypotheses and changing perspectives when that's what the data indicates. 
 Writes efficient, production-quality code. 
 Is comfortable applying the latest research to Grammarly use cases, as well as pushing the state of the art forward. 
 Understands traditional machine learning algorithms and how to use them effectively in practice. 
 Has a strong working knowledge of statistics as it relates to sampling methodologies and designing experiments. 
 Has worked with text data in a research context or in industry-building intelligence systems. 
 Professional growth: We hire people we trust, and we give team members autonomy to do their best work. We also support professional development with training, coaching, and regular feedback. 
 A connected team: Grammarly builds products that help people connect, and we apply this mindset to our own team. We have a highly collaborative culture supported by our EAGER values. We also take time to celebrate our colleagues and accomplishments with global, local, and team-specific events and programs. 
 Comprehensive benefits: Grammarly offers all team members competitive pay along with a benefits package that includes superior health care. We also offer ample and defined time off, catered lunches, gym and recreation stipends, admission discounts, and more. 
 ",https://www.indeed.com/rc/clk?jk=7302fd68118f09a3&fccid=0555014e7bce64c3&vjs=3
Data Scientist,TC Transcontinental,"Brampton, ON"," 
Leverage data mining, statistics, and analytical techniques to identify opportunities for growth. 
 
Lead and provide insight on the options and best methodologies for in-market testing. 
 
Analyze large volumes of both structured and unstructured datasets from both internal and external sources. 
 
Have experience in analyzing PoS transactional data. 
 
Be able to quantify the impact of marketing decisions through the use of A/B testing. 
 
Distil data into finding and prepare results for presentation to senior management. 
 
Collaboratively work with functional areas of the business to develop / adjust business processes that will support analytics research within a marketing framework. 
 
Engage stakeholders to understand informational pain points and drive analytics solution that address them. 
 
A bachelor’s degree in computer science, statistics, or mathematics. 
 
3 years of related industry experience in working with data and providing analytics. 
 
Knowledge in leveraging one, or more, of the following statistical tools, R, SPSS, and/or SAS. 
 
Proficiency in PowerBI. 
 
Working experience in Microstrategy, Teradata, querying relational databases. 
 
Experience with analytic methods that include descriptive statistics, A/B testing and multivariate testing. 
 
Excellent communication and presentation skills. 
 
Proven experience with data science tools such as Alteryx, PowerBI, SQL, SPSS, SAS, R, Python, Tableau. 
 
An understanding of geographic information systems. 
 
Able to clearly communicate complex methodologies and approaches to stakeholders, peers and management. 
 ",https://www.indeed.com/rc/clk?jk=3f0b023e5d7940d4&fccid=4e0bc64650e499bb&vjs=3
